episode,row,col
173,100,111
174,304,509
175,48,436
176,249,189
177,211,308
178,243,353
179,297,414
180,112,531
181,237,514
182,198,177
183,176,206
184,89,127
185,188,480
186,142,540
187,28,497
188,283,130
189,275,417
190,202,147
191,110,467
192,186,364
193,17,389
194,230,230
195,84,500
196,303,300
197,241,430
198,257,442
199,208,224
200,99,500
201,216,405
202,85,530
203,313,399
204,191,501
205,35,549
206,48,585
207,71,457
208,145,521
209,151,143
210,34,503
211,191,406
212,260,367
213,283,536
214,260,481
215,53,448
216,314,437
217,276,327
218,306,371
219,236,194
220,15,514
221,298,460
222,96,125
223,93,412
224,192,219
225,192,319
226,95,108
227,98,509
228,89,365
229,245,230
230,256,463
231,102,571
232,40,444
233,196,513
234,259,489
235,294,181
236,278,251
237,187,529
238,295,447
239,258,431
240,288,133
241,79,590
242,274,508
243,141,576
244,152,143
245,15,399
246,178,289
247,62,454
248,238,554
249,99,453
250,162,159
251,134,427
252,219,452
253,236,308
254,209,526
255,231,309
256,51,417
257,129,560
258,276,480
259,199,322
260,57,569
261,282,299
262,132,357
263,26,515
264,95,466
265,62,419
266,74,519
267,128,368
268,43,559
269,238,497
270,158,348
271,255,363
272,217,342
273,184,523
274,295,540
275,124,109
276,182,485
277,290,396
278,149,342
279,296,500
280,268,357
281,105,451
282,251,212
283,206,551
284,232,353
285,293,290
286,147,344
287,234,303
288,181,198
289,122,481
290,46,566
291,251,230
292,290,180
293,63,527
294,104,548
295,79,513
296,56,415
297,171,211
298,72,495
299,302,481
300,187,153
301,124,468
302,219,457
303,269,260
304,160,524
305,278,479
306,5,437
307,11,399
308,70,582
309,27,423
310,257,368
311,22,391
312,286,248
313,15,412
314,40,488
315,197,353
316,223,417
317,299,381
318,279,249
319,293,217
320,254,325
321,251,454
322,120,561
323,198,293
324,35,524
325,119,363
326,54,478
327,213,184
328,226,415
329,310,375
330,15,495
331,179,397
332,148,479
333,126,408
334,251,511
335,291,340
336,74,584
337,265,328
338,308,355
339,304,132
340,165,174
341,139,575
342,139,530
343,307,264
344,154,131
345,265,484
346,257,436
347,222,472
348,303,223
349,6,447
350,73,444
351,289,236
352,39,532
353,205,187
354,143,342
355,39,470
356,105,494
357,0,528
358,98,399
359,228,471
360,273,485
361,223,426
362,229,228
363,285,269
364,309,527
365,245,479
366,216,388
367,25,578
368,144,510
369,16,393
370,303,321
371,67,427
372,3,470
373,18,386
374,147,155
375,211,512
376,152,563
377,203,490
378,224,455
379,235,509
380,91,562
381,126,567
382,194,190
383,129,98
384,291,463
385,170,382
386,309,502
387,43,419
388,298,424
389,11,579
390,183,513
391,245,381
392,173,287
393,113,121
394,88,574
395,189,406
396,278,396
397,265,272
398,51,479
399,294,255
400,266,150
401,6,591
402,196,390
403,199,143
404,302,328
405,299,329
406,92,558
407,298,143
408,266,237
409,233,359
410,258,312
411,19,586
412,309,272
413,196,431
414,274,168
415,273,360
416,25,509
417,215,374
418,29,360
419,80,421
420,161,162
421,184,203
422,152,523
423,265,324
424,134,556
425,176,221
426,224,538
427,8,417
428,286,424
429,26,439
430,39,406
431,308,150
432,219,378
433,287,536
434,286,156
435,168,500
436,307,322
437,222,217
438,302,261
439,269,155
440,236,336
441,10,451
442,4,457
443,281,122
444,274,330
445,74,575
446,41,415
447,264,327
448,297,304
449,282,527
450,303,270
451,247,186
452,195,304
453,80,582
454,210,376
455,259,378
456,140,342
457,142,534
458,151,361
459,288,387
460,236,359
461,244,455
462,271,504
463,69,466
464,280,357
465,63,502
466,86,530
467,60,447
468,289,307
469,301,238
470,128,408
471,285,336
472,231,426
473,292,338
474,239,450
475,154,509
476,86,469
477,129,481
478,84,478
479,84,428
480,187,377
481,200,189
482,116,449
483,274,402
484,149,376
485,3,555
486,127,368
487,146,484
488,176,321
489,119,441
490,112,539
491,135,528
492,47,559
493,198,396
494,310,140
495,197,396
496,240,499
497,173,533
498,187,543
499,270,262
500,217,338
501,49,450
502,250,232
503,53,570
504,76,482
505,245,198
506,201,390
507,111,419
508,230,550
509,252,475
510,282,433
511,74,589
512,78,394
513,269,419
514,231,404
515,52,580
516,233,204
517,292,176
518,280,362
519,229,335
520,14,441
521,13,550
522,294,439
523,313,228
524,150,489
525,64,532
526,184,333
527,45,454
528,202,224
529,310,296
530,133,522
531,305,164
532,188,513
533,300,351
534,234,510
535,283,156
536,224,442
537,294,184
538,301,160
539,48,484
540,287,531
541,130,364
542,295,449
543,128,506
544,212,485
545,21,565
546,106,370
547,263,256
548,291,267
549,210,481
550,150,504
551,8,408
552,247,545
553,149,506
554,294,308
555,175,222
556,229,388
557,79,540
558,276,250
559,106,390
560,126,553
561,174,222
562,28,519
563,180,155
564,277,211
565,224,380
566,140,367
567,222,296
568,37,494
569,125,412
570,84,566
571,269,371
572,178,295
573,109,547
574,125,573
575,220,387
576,160,119
577,219,522
578,313,420
579,236,506
580,232,363
581,202,335
582,285,286
583,314,344
584,296,159
585,163,488
586,8,466
587,148,545
588,144,130
589,254,415
590,94,441
591,152,552
592,87,467
593,265,267
594,286,417
595,48,477
596,181,284
597,5,471
598,281,217
599,275,313
600,175,346
601,259,460
602,251,423
603,256,445
604,277,161
605,44,550
606,98,586
607,6,570
608,126,121
609,109,467
610,305,280
611,21,420
612,206,523
613,3,520
614,225,392
615,267,529
616,139,493
617,271,457
618,63,583
619,308,141
620,110,505
621,55,408
622,265,153
623,156,123
624,140,373
625,220,417
626,226,226
627,148,167
628,49,497
629,315,533
630,157,528
631,113,371
632,23,364
633,162,344
634,298,154
635,176,155
636,310,383
637,272,393
638,285,126
639,225,404
640,314,196
641,74,453
642,176,383
643,127,536
644,199,342
645,300,318
646,76,565
647,197,323
648,124,353
649,80,490
650,306,352
651,69,469
652,220,326
653,276,497
654,236,438
655,298,480
656,211,515
657,4,441
658,137,351
659,123,115
660,165,489
661,240,508
662,151,515
663,302,266
664,158,557
665,262,534
666,297,236
667,269,165
668,16,417
669,93,504
670,210,523
671,165,196
672,203,374
673,283,473
674,39,454
675,262,116
676,142,347
677,283,113
678,0,567
679,2,551
680,174,294
681,135,575
682,130,415
683,186,371
684,183,413
685,159,190
686,130,405
687,110,101
688,1,426
689,106,535
690,14,493
691,219,372
692,233,175
693,63,495
694,264,513
695,180,358
696,30,436
697,117,435
698,62,423
699,111,584
700,221,400
701,150,166
702,64,565
703,154,361
704,208,506
705,309,413
706,266,191
707,289,250
708,226,228
709,277,455
710,61,477
711,76,429
712,202,175
713,208,402
714,309,167
715,265,330
716,277,432
717,260,453
718,146,577
719,251,454
720,96,477
721,138,372
722,294,223
723,9,441
724,273,371
725,289,425
726,158,527
727,266,240
728,153,133
729,84,509
730,106,574
731,84,460
732,19,442
733,3,451
734,267,152
735,50,588
736,108,390
737,120,435
738,302,475
739,52,526
740,235,527
741,286,445
742,274,456
743,281,194
744,204,309
745,221,186
746,182,523
747,216,544
748,122,568
749,271,446
750,291,325
751,195,320
752,274,455
753,290,144
754,137,490
755,300,418
756,95,399
757,4,453
758,133,517
759,265,317
760,106,535
761,104,549
762,180,561
763,90,476
764,193,217
765,314,509
766,296,131
767,13,445
768,95,496
769,2,463
770,227,332
771,94,562
772,292,466
773,254,364
774,271,517
775,279,386
776,298,504
777,239,521
778,73,539
779,218,474
780,129,373
781,148,496
782,13,347
783,245,351
784,156,484
785,132,537
786,250,323
787,65,417
788,219,481
789,178,192
790,224,291
791,287,473
792,206,458
793,256,386
794,177,154
795,121,111
796,313,297
797,219,337
798,113,92
799,309,536
800,223,423
801,304,192
802,193,307
803,269,544
804,206,189
805,131,464
806,82,392
807,274,426
808,102,97
809,83,497
810,303,321
811,183,393
812,289,146
813,293,412
814,235,496
815,205,364
816,10,445
817,234,447
818,40,463
819,207,286
820,191,442
821,189,540
822,151,169
823,225,203
824,245,544
825,300,530
826,264,505
827,83,470
828,270,422
829,303,368
830,170,301
831,87,460
832,192,287
833,13,527
834,276,291
835,174,512
836,176,387
837,300,288
838,246,380
839,190,550
840,268,323
841,26,588
842,262,120
843,280,333
844,146,363
845,190,159
846,80,505
847,57,455
848,86,488
849,138,471
850,307,152
851,120,512
852,196,477
853,230,310
854,95,359
855,168,141
856,60,435
857,240,457
858,249,462
859,262,490
860,214,423
861,248,387
862,236,225
863,162,346
864,264,180
865,154,393
866,186,534
867,209,398
868,178,207
869,172,516
870,268,444
871,87,540
872,11,485
873,199,541
874,301,436
875,302,268
876,276,300
877,91,459
878,303,384
879,167,141
880,178,384
881,243,175
882,289,284
883,306,436
884,212,368
885,106,388
886,179,477
887,151,175
888,103,531
889,312,292
890,186,178
891,86,481
892,25,503
893,198,402
894,306,389
895,82,528
896,243,443
897,191,477
898,93,472
899,34,503
900,162,129
901,288,519
902,183,335
903,111,502
904,78,416
905,189,398
906,152,420
907,298,494
908,254,353
909,127,492
910,223,486
911,290,178
912,226,173
913,19,407
914,264,425
915,15,515
916,279,467
917,292,121
918,205,475
919,35,489
920,174,140
921,253,215
922,225,360
923,216,401
924,26,442
925,120,465
926,303,351
927,280,294
928,18,494
929,118,101
930,72,435
931,62,512
932,293,277
933,234,296
934,87,109
935,221,483
936,256,117
937,113,392
938,208,478
939,131,568
940,313,477
941,271,259
942,306,439
943,121,567
944,91,363
945,13,375
946,282,338
947,57,588
948,304,436
949,201,415
950,265,442
951,41,467
952,230,344
953,8,570
954,267,486
955,164,174
956,273,180
957,208,433
958,312,501
959,61,537
960,101,356
961,244,456
962,265,447
963,217,173
964,150,372
965,182,351
966,213,349
967,187,406
968,280,540
969,97,431
970,99,416
971,86,568
972,309,258
973,91,363
974,302,461
975,276,226
976,182,214
977,174,554
978,58,489
979,191,211
980,144,571
981,282,454
982,205,164
983,94,517
984,234,418
985,172,538
986,246,518
987,291,334
988,290,142
989,73,397
990,165,396
991,211,542
992,36,416
993,218,326
994,306,138
995,280,109
996,4,506
997,270,374
998,116,489
999,80,519
1000,216,466
1001,71,497
1002,299,210
1003,63,493
1004,209,336
1005,106,467
1006,179,334
1007,29,469
1008,297,177
1009,164,351
1010,286,249
1011,12,389
1012,215,552
1013,132,496
1014,229,428
1015,299,524
1016,9,485
1017,283,424
1018,134,563
1019,203,465
1020,31,489
1021,175,136
1022,278,182
1023,299,328
1024,236,471
1025,45,536
1026,310,310
1027,291,219
1028,152,482
1029,308,462
1030,290,111
1031,35,433
1032,170,327
1033,179,325
1034,306,315
1035,207,410
1036,298,429
1037,257,463
1038,94,438
1039,279,132
1040,256,439
1041,209,157
1042,27,591
1043,205,489
1044,235,173
1045,248,441
1046,267,373
1047,124,455
1048,176,328
1049,181,356
1050,281,205
1051,154,157
1052,244,226
1053,166,551
1054,63,510
1055,148,160
1056,19,372
1057,95,418
1058,17,367
1059,52,437
1060,290,414
1061,175,316
1062,151,351
1063,134,371
1064,128,346
1065,216,308
1066,299,422
1067,33,450
1068,243,412
1069,137,529
1070,244,350
1071,314,362
1072,58,468
1073,34,493
1074,230,515
1075,57,525
1076,176,327
1077,208,197
1078,281,328
1079,272,261
1080,240,361
1081,57,441
1082,313,335
1083,206,455
1084,174,222
1085,176,321
1086,172,288
1087,136,408
1088,312,424
1089,104,96
1090,263,391
1091,225,482
1092,294,261
1093,282,354
1094,73,424
1095,28,547
1096,68,480
1097,314,322
1098,292,159
1099,263,122
1100,4,462
1101,117,577
1102,83,580
1103,285,180
1104,312,202
1105,23,359
1106,123,114
1107,80,474
1108,191,228
1109,171,162
1110,236,407
1111,26,367
1112,281,441
1113,181,122
1114,62,437
1115,283,490
1116,177,203
1117,277,448
1118,197,187
1119,299,383
1120,118,445
1121,202,485
1122,96,382
1123,304,147
1124,271,226
1125,197,426
1126,98,478
1127,232,223
1128,72,511
1129,199,318
1130,250,434
1131,69,559
1132,7,467
1133,282,190
1134,164,557
1135,187,421
1136,278,160
1137,196,336
1138,211,411
1139,93,126
1140,244,361
1141,288,364
1142,31,502
1143,268,323
1144,139,520
1145,237,500
1146,265,204
1147,115,467
1148,162,503
1149,157,120
1150,305,405
1151,124,380
1152,268,469
1153,86,393
1154,195,183
1155,91,547
1156,282,200
1157,81,540
1158,290,134
1159,273,479
1160,295,395
1161,145,562
1162,200,477
1163,175,194
1164,174,386
1165,160,535
1166,171,218
1167,58,425
1168,100,576
1169,296,205
1170,117,579
1171,293,251
1172,275,406
1173,294,406
1174,27,590
1175,236,202
1176,43,344
1177,293,379
1178,41,456
1179,96,355
1180,268,464
1181,161,158
1182,36,475
1183,38,493
1184,230,209
1185,232,227
1186,81,548
1187,268,238
1188,190,144
1189,248,386
1190,274,445
1191,127,376
1192,293,426
1193,93,527
1194,230,321
